Name,Link,Phone No,Contact Address
Royal Rose Abu Dhabi,http://www.royalrosehotel.com/,+971 2- 6724000  (p) +971 2- 6720001  (f),1025 Sheikh Zayed the 1st (Electra/7th) Street Al Markaziyah District Abu Dhabi United Arab Emirates
Royal Safari Garden Resort & Convention,http://www.royalsafarigarden.com,+62 2518253000  (p) +62 2518253555  (f),Jl. Raya Puncak No. 601 Cisarua Puncak 16750 Indonesia
Royal Wings Travel,http://www.royalwings.com/,+20 3371234  (p),4 Ali Ebn Abi Taleb Beside Alex Bank Giza Egypt
Royal Yachts Charter and Boats Rental LLC,http://www.ry.ae ,+971 45182561  (p),"Office 15, Level 14 Boulevard Plaza Tower One, Sheikh Mohammed Bin Rashid Downtown Dubai, United Arab Emirates 555562 United Arab Emirates"
"RSU Healthcare Co., Ltd.",http://www.rsuhealthcare.com/home.php,+66 26100300  (p) +66 22597787  (f),"G, 2, 11, 12 fl., 571 RSU Tower, Sukhumvit Rd., Wattana, Bangkok 10110 Bangkok Thailand"
Russian Emirates Publishing & Advertising,http://www.russianemirates.com/,+971 43884699  (p) +971 43884799  (f),"Dubai, Business Bay, Single Business Tower, 1105 PO Box 391551 Dubai 0 United Arab Emirates"
Résidence Les Hauts de Genolier and Clinic Genolier,http://www.hdg.ch,+41 223168213  (p) +41 792631457  (f),Route du Muids 5 Genolier Switzerland
SAAD Tours - DMC,http://www.saadtours.com,+961 1393100  (p) +961 427427  (f),"Achrafieh, Sioufi Haddad Bldg. 8th Amine Gemayel Street Beirut 11072010 Lebanon"
Sabre,http://www.sabretravelnetwork.com,+973 17201017  (p) +973 17201040  (f),P.O. Box 3163 10th Floor NBB Tower Government Road Manama Bahrain
Sabsan Travel and Tours Pvt. Ltd,http://www.sabsanholidays.in,+91 4652 451034 / 9487701149  (p) +91 4652 451035/36  (f),No. 419 – A2 KP Road Chettikulam Junction Nagercoil Tamil Nadu - India
SAFARAK,http://www.rakhospitality.com,+971 72036000  (p),"Al Marjan Island, Ras Al Khaimah, UAE Ras Al Khaimah United Arab Emirates"
SAFARI TRAILS LTD,http://www.safaritrails.com,+254 722728719  (p) +254 722728719  (f),P.O. BOX 18284 - 00500 NAIROBI 14 RIVERSIDE DRIVE NAIROBI KEN 00500 Kenya
"Safari World Public Co., Ltd.",http://www.safariworld.com/,+66 914410019  (p) +66 518100019  (f),"99 Panyaintra Rd., Samwatawantok, Klongsamwa, Bangkok 10510 Thailand Bangkok 10510 Thailand"
Safrat Travel,http://www.safrattravel.com,+961 1300157  (p),Ibn El Assir Beirut Lebanon
Saint Lucia Tourist Board,http://www.stlucia.org,+44 2073417000  (p) +44 2073417001  (f),1 Collingham Gardens London United Kingdom
Saint Petersburg Committee for Tourism Development,http://www.visit-petersburg.ru,+7 8125767704  (p) +7 8125767702  (f),"6th etrance, Smolny, 191060 Saint Petersburg Saint Petersburg 191060 Russian Federation"
Saint Petersburg Committee for Tourism Development,http://www.visit-petersburg.ru/en/,+7 8125764407  (p) +7 8125764402  (f),Smolny 6 entrance Saint Petersburg 191060 Russian Federation
Salalah Marriot Resort,http://www.marriott.com/hotels/travel/sllms-salalah-marriott-resort/,+968 99279393  (p),P.O.Box 1982 P.C: 111 AL Khuwair AL Khuwair Oman
Salalah Rotana Resort ,https://www.rotana.com/rotanahotelandresorts/oman/salalah/salalahrotanaresort,+968 23275700  (p) +968 23275701  (f),"Al Saada, PC 215, Salalah Beach Resort Taqah Road P.O. Box 439 Salalah 439 Oman"
Sally Everton Associates,http://sallyevertonassociates.com,+44 +441647247440  (p) +44 +441647247440  (f),"Rock Moors Woodland Head, Yeoford Crediton Devon EX17 5HE United Kingdom"
Saltours International ,http://www.saltoursweb.com,+44 2077247711  (p) +44 2072580061  (f),49 Great Cumberland Place London W1H 7TH United Kingdom
SalzburgerLand Tourismus,http://salzburgerland.com,"",Wiener Bundesstrasse 23 Salzburg Austria
Salzkammergut Touristik,http://www.salzkammergut.co.at,+43 6132 24000 0  (p) +43 6132 24000 44  (f),Götzstrasse 12 Bad Ischl Upper Austria 4820 Austria
Samaya Hotel Deira,http://www.samayahotel.com,+971 47033333  (p) +971 47033334  (f),"P.O. Box 88449 Derai, Dubai Dubai SAMAYA United Arab Emirates"
Sampan Media Pvt. Ltd.,http://sampanmedia.com/,+91 114176690  (p),"124,3rd floor shahpur jat New Delhi 110049 India"
Samsotech International,http://samsotech-id.com/,+971 43574235  (p) +971 43548376  (f),P O Box 117564 Dubai United Arab Emirates
Samurai Travel Inc.,,"",""
SAMYELI TRAVEL,http://www.samyelitravel.com,+90 5324914162  (p) +90 2566122588  (f),BAYRAKLI DEDE MAH.RUYA EVLERI NO:1 KUSADASI/AYDIN AYDIN Kuşadası 09400 Turkey
San Francisco Travel,http://www.sanfrancisco.travel/,+1 4153912000  (p) +1 4153627323  (f),900 Market Street San Francisco CA 94111 United States
Sand Dunes Holidays ,http://www.sdq.qa,+974 974 55428339  (p) +974 974 44419199  (f),Sealine Beach Resort - Measaieed Po.Box : 20542 Measaieed Measaieed Qatar
"Sandy Beach Hotel & Resort, Al Aqah Beach",http://www.sandybeachhotel.ae,+971 92445555  (p) +971 92445200  (f),Sandy Beach Hotel and Resort Fujairah Fujairah 659 United Arab Emirates
Sapphire Plaza Hotel Doha,http://www.sapphire-hotels.com,+974 4033 7000  (p) +974 4033 7111  (f),"Al Rayyan Rd, Al Reem St. Doha 8113 Qatar"
Saraya Corniche Hotel,http://sarayacorniche.com/,+974 44973777  (p) +974 44973797  (f),"Old Salata, Baladiya Street, Zone 18, Building 1, PO Box 23768 Doha Qatar"
Sari Gumi Bali Tours (Sari Tours) PT.,http://www.sari-tours.com,+62 361 289305  (p) +62 361 289306  (f),"Jalan Bajang Sari No. 5 Sanur, Denpasar, Bali Indonesia"
Saudi Commission for Tourism and National Heritage,http://www.scth.gov.sa,+966 118808855  (p) +966 118808844  (f),Abdullah Al Sahmi Street Diplomatic Quarters P O Box 66680 Riyadh 11586 Saudi Arabia
Saudi Exhibition and Convention Bureau (SECB),http://www.secb.gov.sa,+966 966112834707  (p) +966 9662834707  (f),"Oruba Street, Riyadh Riyadh Saudi Arabia"
Saudi International Travel Agency,http://www.aldawleyah.travel,+966 114609393  (p) +966 112733388  (f),"King Abdulaziz Road, P. O. Box 8384 Riyadh 11482 Saudi Arabia"
SAUDIA ,http://www.saudia.com,+966 126864706  (p),SAUDIA City King Abdulaziz Road Jeddah Westren Region Saudi Arabia
SAVOY LE GRAND HOTEL MARRAKECH,http://www.savoylegrandhotel.com/src/index.php,+212 212524351000  (p) +212 212524437843  (f),"Avenue de la Menara BP 528, Marrakech Maroc MARRAKECH 528 Morocco"
"Savoy Resort & Spa, Seychelles",http://www.savoy.sc,+248 4392000  (p) +248 4392001  (f),"Beau Vallon, Mahe, Seychelles Victora Seychelles"
Savoy Sharm El Sheikh Group,http://www.savoy-sharm.com/,+20 693602500  (p) +20 693602777  (f),PO BOX 169 SOHO Square South Sinai Egypt
Savoy Suites,http://WWW.SAVOYDUBAI.COM,+971 4 3553000  (p) +971 4 3551330  (f),"12 A STREET BUR DUBAI, DUBAI United Arab Emirates"
Sawgrass Mills,http://www.SawgrassMills.com,+1 954-648-8958  (p),12801 W. Sunrise Blvd Florida Florida 33323 United States
Scandinavian Perspectives,http://www.scandinavianperspectives.com/,+46 854528180  (p),Sankt Göransgatan 66 Stockholm 112 33 Sweden
Schilthorn Cableways Ltd,http://www.schilthorn.ch,+41 338260007  (p),Höheweg 2 Interlaken Berne 3800 Switzerland
Schlosshotel Kronberg,http://www.schlosshotel-kronberg.de,+49 6173 701 01  (p) +49 6173 701 565  (f),Hainsstrasse 25 Kronberg im Taunus Hesse 61476 Germany
SCUBASPA MALDIVES ,http://www.scubaspa.com,+960 3322666  (p),"H.Aagadhage, 3rd Floor Bodhuthakurufaanu Magu 20026 Male' Maldives"
Sea Group Resorts,http://www.seagroupresorts.com/,+20 69 3710170  (p) +20 69 3710175  (f),Sharm El-Sheikh South Sinai Egypt 46628 Egypt
Sealine Beach Resort,http://www.sealinebeachqatar.com,+974 44765299  (p) +974 44765235  (f),PO Box 50255 Sealine Beach Rd. Mesaieed Qatar 50255 Qatar
Seasons Catering,http://www.seasonscateringme.com/gallery.php,+971 44078989  (p),Bur Dubai Shaikh Zayed Road Dubai UAE 116121 United Arab Emirates
Seawings Seaplane Tours and Luxury Holidays,http://www.seawings.ae,+971 4 8070708  (p) +971 4 8814558  (f),"Building B, Office 210 Dubai South (DWC) Dubai United Arab Emirates"
SeaWorld Parks & Entertainment,http://www.SeaWorldParks.com,+49 6102-366636  (p),SeaWorld Parks & Entertainment c/o noble kommunikation GmbH Luisenstrasse 7 Neu-Isenburg D-63263 Germany
Sedra Residences by Rotana,http://www.rotanaresidences.com/residences/sedraresidencesbyrotana,+974 40028942  (p),Tower 27 Porto Arabia Doha Qatar
SEMAN TOURISM,http://www.seesemantours.com,+90 2122351020  (p) +90 2122351014  (f),KOCATEPE MAH.SEHIT MUHTAR CAD.NO:19/3 TAKSIM/BEYOGLU/ISTANBUL ISTANBUL 34407 Turkey
Seven Tides International,http://www.seventides.com,+971 44440700  (p) +971 44440701  (f),Seven Tides International IBN Battuta Gate Office Building P.O Box 122898 Dubai United Arab Emirates
Seven Tides International,http://www.seventides.com/,+971 4 444 0700  (p) +971 4 444 0701  (f),10th Floor Ibn Battuta Gate Offices PO Box – 122898 Dubai United Arab Emirates
SEVILLA TOURISM BOARD,http://www.visitasevilla.es,+34 955471227  (p),"Plaza de San Francisco 19. Edificio Laredo, 3ª planta Sevilla Andalucia 41004 Spain"
Seychelles Tourism Board ,http://www.seychelles.travel,+971 42865586  (p) +971 42865589  (f),c/o Mohamed Al Geziry Consultancy 100 Al Fattan Plaza PO Box 36345 Dubai United Arab Emirates
Shahdag Mountain Resort,http://www.shahdag.az,+994 124650945  (p) +994 124650945  (f),"2B J. Hajibeyli str., corner 2. Baku Azerbaijan"
Shanfari Hotels & Resorts,http://www.shanfarihotels.com,+968 24707207 / 99416728  (p) +968 24707182  (f),P O Box: 1498 PC 114 Hai Almina Hai Almina Oman
Shanfari Hotels & Resorts,http://www.shanfarihotels.com,+968 24707207 / 99416728  (p) +968 24707182  (f),P O Box: 1498 PC 114 Hai Almina Hai Almina Oman
Shangri-La Barr Al Jissah Resort,http://www.shangri-la.com,+968 24776200  (p) +968 24776299  (f),P.O. Box 644 P.C 100 Muscat MUSCAT Oman
"Shangri-La Bosphorus, Istanbul ",http://www.shangri-la.com/istanbul,+90 212 310 5168  (p),"Sinanpasa Mah., Hayrettin Iskelesi Sk. No.1, 34353 Besiktas Istanbul 34353 Turkey"
Shangri-La Hotel Qaryat Al Beri,http://www.shangri-la.com/abudhabi/shangrila/,+971 25098888  (p) +971 25585999  (f),Abu Dhabi Abu Dhabi United Arab Emirates
"Shangri-La Hotel, Bengaluru",http://www.shangri-la.com,+91 9180 4512 6210  (p),"No 56, Palace Road Bengaluru 560052 India"
"Shangri-La Hotel, Doha",http://www.shangri-la.com/doha/shangrila/about/,"",Conference Centre Street، Doha Qatar
"Shangri-La Hotel, Dubai",http://www.shangri-la.com/dubai/shangrila/,+971 4 343 8888  (p) +971 4 343 8886  (f),Shangri-La Hotel Sheikh Zayed Road P.O. Box 75880 Dubai 75880 United Arab Emirates
"SHANGRI-LA HOTEL, KUALA LUMPUR AND RASA SAYANG RESORT & SPA, PENANG",http://www.shangri-la.com/penang/rasasayangresort/,+60 320323926  (p) +60 320785990  (f),"Shangri-La hotel, Kuala Lumpur 11 Jalan Sultan Ismail KUALA LUMPUR Kuala Lumpur 50250 Malaysia"
"Shangri-La Hotel, Paris",http://www.shangri-la.com,+33 1 53 67 19 75  (p) +33 1 53 67 19 65  (f),"10 Avenue d’Iéna, 75116 Paris Paris France"
"Shangri-La Hotel, Singapore",http://www.shangri-la.com/singapore,+65 62134957  (p) +65 67343585  (f),22 Orange Grove Road Singapore 258350 Singapore
Shangri-La Hotels & Resorts,http://www.shangri-la.com,+971 4052735  (p),Sheikh Zayed Road P.O 75880 Dubai United Arab Emirates
"Shangri-La London, At The Shard",http://www.shangri-la.com/london/shangrila/about/,+44 207234 8030  (p),"31 St Thomas Street, London SE1 9QU London United Kingdom"
"Shangri-La's Eros Hotel, New Delhi",http://www.shangri-la.com,+91 11 41196130  (p),"19 Ashoka Road, Connaught Place New Delhi 110001 India"
"Shangri-La's Hambantota Resort & Spa, Sri Lanka",http://www.shangri-la.com,+94 11 2552060  (p),"No.5, Bethesda Place, Off Dickmans Road, Colombo-05 Colombo Sri Lanka"
"Shangri-La's Le Touessrok Resort & Spa, Mauritius",http://www.shangri-la.com,+230 402 7400  (p) +230 402 7500  (f),"Coastal Road, Trou d’Eau Douce Mauritius Mauritius"
"Shangri-La's Le Touessrok Resort & Spa, Mauritius",,"",Regional Sales Office Dubai United Arab Emirates
"Shangri-La's Mactan Resort & Spa, Cebu",http://www.shangri-la.com/cebu/mactanresort/,+63 32 2310288  (p) +63 32 2313518  (f),"Punta Engano Road, Mactan Lapu-lapu City Cebu 6015 Philippines"
"Shangri-La's Rasa Sentosa Resort & Spa, Singapore",http://www.shangri-la.com/singapore/rasasentosresor,+65 6371 2968  (p) +65 6275 0355  (f),"101 Siloso Road, Sentosa Singapore, 098970 Singapore 098970 Singapore"
"Shangri-La's Villingili Resort & Spa, Maldives",http://www.shangri-la.com,+960 689 7888  (p) +960 689 7999  (f),"Villingili Island, Addu Atoll Male Maldives"
SHARINA TOURISM L.L.C,http://www.s-tth.com,+971 45586707  (p) +971 45586708  (f),Dubai Ground Floor - Outlet No. 4 Ontario Tower Business Bay Dubai 31110 United Arab Emirates
Sharjah Airport Travel Agency,http://www.satatravels.com,+971 97165618888  (p),P.O.Box 29102 Sharjah sharjah 29102 United Arab Emirates
Sharjah Commerce & Tourism Development Authority,http://www.sharjahtourism.ae,+971 65566777  (p) +971 65563000  (f),"9th Floor, Crescent Tower Buhairah Corniche PO Box 26661 Sharjah United Arab Emirates"
Sharjah Healthcare City,http://shcc.ae/ ,+971 65571117  (p),Sharjah Sharjah United Arab Emirates
Sharjah Institute of Heritage,http://www.sharjah-heritage.ae ,"",Sharjah Sharjah United Arab Emirates
Sharjah International Airport,http://www.sharjahairport.ae,+971 65081520  (p) +971 6 5580355  (f),Sharjah Sharjah 00008 United Arab Emirates
Sharjah Investment and Development Authority (SHUROOQ),http://www.shurooq.gov.ae,+971 65560777  (p) +971 65560444  (f),PO Box 867 Sharjah United Arab Emirates
Sharjah Investment and Development Authority (Shurooq),http://shurooq.gov.ae/ ,+971 65560777  (p),P.O.Box: 867 Sharjah United Arab Emirates
Sharjah Museums Department,http://www.sharjahmuseums.ae,+971 97165566002  (p) +971 97165566003  (f),P.O. Box 39939 Sharjah Sharjah United Arab Emirates
Sharjah Premiere Hotel & Resort,http://www.sharjahpremiere.com/,+971 6 5282777  (p) +971 6 5283344  (f),"Al Khan Area, Al Meena Street P.O. Box 65500 Sharjah 65500 United Arab Emirates"
Shaza Hotels,,+971 44376460  (p),PO Box 213566 Dubai United Arab Emirates
Sheikh Mansour Racing Festival,http://www.sheikhmansoorfestival.com/portal/aboutus.aspx,"",Abu Dhabi Abu Dhabi United Arab Emirates
Sheikh Zayed Grand Mosque,http://www.szgmc.ae/en/,"",Abu Dhabi Abu Dhabi United Arab Emirates
Sheraton Abu Dhabi Hotel & Resort,http://www.sheratonabudhabi.com,+971 2 677 3333  (p) +971 2 672 5149  (f),Abu Dhabi Abu Dhabi United Arab Emirates
Sheraton Amman Nabil,http://www.sheratonammanalnabil.com/,"",Amman Amman Jordan
Sheraton Dubai Creek Hotel & Towers,http://www.sheratondubaicreek.com,+971 42071451  (p),Sheraton Dubai Creek Hotel & Towers Baniyas Street PO Box 4250 Dubai 4250 United Arab Emirates
Sheraton Dubai Mall of the Emirates Hotel,http://www.sheratondubaimalloftheemirates.com/,+971 97143772000  (p) +971 97143772001  (f),Al Barsha 1 PO Box Sheikh Zayed Road Dubai 450309 United Arab Emirates
Sheraton Grand Doha Resort & Convention Hotel,,"","Al Corniche Street, PO Box 6000 Doha Qatar"
Sheraton Grand Doha Resort & Convention Hotel,http://www.sheratongranddoha.com,+974 44854444  (p) +974 55832323  (f),"Al Corniche Street, PO Box 6000 Doha 6000 Qatar"
Sheraton Grand Hotel Dubai,http://www.sheratongranddubai.com/,+971 97145034444  (p),Dubai Dubai United Arab Emirates
"Sheraton Grande Sukhumvit, Bangkok, A Luxury Collection Hotel",http://www.sheratongrandesukhumvit.com,+66 2649 8888  (p),250 Sukhumvit Road Bangkok Asia-Pacific 10110 Thailand
Sheraton Imperial Kuala Lumpur & Sheraton Bali Kuta Resort,http://www.sheratonbalikuta.com ,+62 3618465555  (p),Jalan Pantai Kuta Denpasar Indonesia
Sheraton Jumeirah Beach Resort,,"",Dubai Dubai United Arab Emirates
Sheraton Kuwait Hotel,http://www.sheratonkuwait.com/,+965 22422055  (p) +965 22413447  (f),Fahed Salem Street Kuwait City Safat13060 Kuwait
Sheraton Oman Hotel,http://www.sheratonoman.com,+968 247881922  (p),P.O.Box: 3260 Ruwi MUSCAT 112 Oman
Sheraton Sharjah Beach Resort & Spa,http://www.sheratonsharjah.com,+971 971 6 5630000  (p),Sharjah P.O.BOX 79797 Sharjah 79797 United Arab Emirates
Sheraton Stockholm Hotel,http://www.sheratonstockholm.com/,+46 8 412 34 00  (p) +46 8 412 34 09  (f),Tegelbacken 6 Stockholm SE 101 23 Sweden
Sheridan Beach Resort and Spa,http://www.sheridanbeachresort.com,+63 322361001  (p) +63 322361003  (f),Sabang Beach Puerto Princesa City Palawan Philippines
Show DC,http://www.showdc.co.th,+66 2 653 0057  (p) +66 2 653 0058  (f),"140 One Pacific Place, Units 1703 - 1704, 17th Floor, Sukhumvit Road, Klongtoey, Bangkok Thailand 1011 Bangkok Thailand"
"Shroff International Travel Care, Inc.",,+63 25242222  (p) +63 25241486  (f),"2/F RCBC Bldg., 1932 Taft Ave., Malate Manila Philippines"
Siam Kempinski Hotel Bangkok,https://www.kempinski.com/en/bangkok/siam-hotel/,"","991/9 Rama 1 Road, Pathumwan, Bangkok 10330 Thailand Bangkok Thailand"
"Siam Park City (City Walk Co.,Ltd)",http://www.siamparkcity.com/en/about.php,"",203 Suan Siam Rd Khannayao Bangkok 10230 Bangkok Thailand
Sianji Wellbeing Resort,http://www.sianji.com,+90 2523828217  (p) +90 2523828508  (f),Kadikalesi Mevkii Turgutreis Bodrum Mugla 48960 Turkey
Sifawy Boutique Hotel,http://www.sifawyhotel.com,+968 94191013  (p) +968 24749122  (f),"Marina Town, Jebel Sifah P.O. Box 1719, P.C. 130 As Sifah Oman"
Silk Way travel,http://www.swtravel.az,+994 994125988880  (p) +994 994124374087  (f),"126 A, Nizami str Bsku Azerbaijan"
SILK WAY TRAVEL GEORGIA,http://www.swgeorgia.ge,+995 322558888  (p),28 Ilia Chavchavadze Av. Tbilisi Gorgasali str. 3 Tbilisi Georgia
Silver Wings Travels Ltd,http://www.silverwings.mu,+230 2100160  (p) +230 2100165  (f),3 John Kennedy Street Port Louis Mauritius
SILVERBIRD TRAVEL PLUS LIMITED,https://silverbirdsafari-africa.com,+254 202169866  (p) +254 2038662665  (f),"P.O. BOX 14338 - 00800 COMMODORE OFFICE SUITES, 7TH FLOOR # 7E Wood Avenue / Kindaruma Road, Kilimani, Nairobi NAIROBI EAST AFRICA 00800 Kenya"
Silverline River Cruises,http://www.silver-line.hu,+36 204667952  (p),Kelén str. 3. Budapest H-1135 Hungary
Simaisma a Murwab Resort,http://simaisma.com/,"","Simaisma Seafront, PO Box 2640 Simaisma Qatar"
Sin Elite Group ,http://www.sinelitegroup.com,+39 70662911  (p) +39 703309901  (f),VIA PRINCIPE AMEDEO 29 CAGLIARI CAGLIARI Sardinia 09124 Italy
Sinclair Global Experience & Hotel Portfolio,http://www.sinclair-global.com,+44 (0) 207 101 4150  (p),Brackenhurst Kings Langley Hertfordshire WD4 9BZ United Kingdom
Sita,http://www.sita.in,+91 124 4703300  (p) +91 124 4563100  (f),"Tower B, Delta Square M.G. Road Sector 25 Gurgaon, Haryana - 122001 India"
Six Senses Zighy Bay Resort & Spa ,http://www.sixsenses.com,+968 2673 5555  (p),P.O.Box 212 P.C 800 Dibbah Musanadam Dibbah Musanadam Oman
Sixt rent a car ,https://www.sixt.com/,+49 1806666666  (p),Zugspitzstr. 1 Pullach Munich 82049 Germany
SIXTY Beverly Hills,http://www.sixtyhotels.com/hotel/beverly-hills/,+1 310-601-2242  (p) +1 310-601-2224  (f),9360 Wilshire Blvd Beverly Hills California 90212 United States
Sky Max Holidays,http://www.skymaxholidays.com,+971 4 2234095  (p) +971 4 2232952  (f),"Office 401, 4/F Al Salemiyah Tower Al Ras Road, Rigga, Deira Dubai United Arab Emirates"
Sky Prime Aviation Services,http://www.skyprimeav.com,+966 112228877  (p) +966 112228866  (f),"P.. O Box 84270, Riyadh Riyadh 11671 Saudi Arabia"
SLOVAK HEALTH SPA PIESTANY,http://www.piestany.danubiushotels.com,+421 33 775 2522  (p) +421 33 775 2530  (f),Winterova 29 Piestany 921 29 Slovakia
Slovak Health Spa Rajecke Teplice,http://www.spa.sk,+421 41 5494 257  (p),Osloboditelov 131/4 Rajecké Teplice 01313 Slovakia
Slovak Tourist Board,http://www.slovakia.travel,+421 250700801  (p),Lamacska cesta 8 Bratislava 811 04 Slovakia
Slovenian Tourist Board,http://www.slovenia.info,+386 15898550  (p) +386 15898560  (f),Dimiceva 13 Ljubljana 1000 Slovenia
"SLS Hotel at Beverly Hills, A Luxury Collection Hotel",http://slshotels.com/beverlyhills,+1 310-247-0400  (p),465 South La Cienega Boulevard Los Angeles United States
Small Luxury Hotels of the World,http://www.slh.com,+44 2078023400  (p),3rd Floor Portland House Bressenden Place London SW1E 5BH United Kingdom
Smart Travel & Tourism,http://www.smartomantour.com,+968 96949698  (p),"P.O.Box 211, Al Khoud Near Shell petrol pump P.C 316 Muscat Al khoud Muscat 316 Oman"
Smiles Makers Tourism,http://smilemakersuae.com/,+971 44580410  (p),Fifty One Tower Business Bay Dubai 121415 United Arab Emirates
SNTTA EMIR TOURS,http://www.snttaemirtours.com,+971 42821908  (p) +971 42865430  (f),"M3, Liberty Building, Al Garhoud, Dubai United Arab Emirates"
SO Sofitel Mauritius,http://www.sofitel-so-mauritius.com,+230 6055800  (p) +230 6151043  (f),"Royal Road, Beau Champ Bel Ombre, Mauritius Bel Ombre Mauritius"
Sofia Travel,http://www.sofia-travel.at,+43 69910013424  (p),Rugierstrasse 12/1 Wien Vienna 1220 Austria
Sofitel Abu Dhabi,http://www.sofitel.com,+971 + 971 2 813 7777  (p) +971 + 971 2 813 7777  (f),"Mr. Hakan Ozturan \ Senior Sales Manager hakan.ozturan@sofitel.com \ 00971 558872292 CORNICHE EAST RD, ABU DHABI Abu Dhabi UAE CORNICHE United Arab Emirates"
Sofitel Abu Dhabi Corniche,http://www.sofitel.com/fr/hotel-7507-sofitel-abu-dhabi-corniche/index.shtml,+971 97128137774  (p),Sofitel Abu Dhabi Corniche Abu Dhabi 44966 United Arab Emirates
Sofitel AL Khobar the Corniche,http://www.sofitel.com/gb/hotel-5988-sofitel-al-khobar-the-corniche/index.shtml,+966 96638817000  (p),AL Khobar Saudi Arabia AL Khobar Saudi Arabia
SOFITEL BAHRAIN THALASSA SPA,,"",Bahrain Manama Bahrain
Sofitel Bahrain Zallaq Thalassa Sea and Spa,http://www.sofitel.com,+973 17636331  (p) +973 17636303  (f),"105 Zallaq Highway, Building 2015, Block 1055, Zallaq Area P.O.Box: 5554 Manama, Kingdom of Bahrain Zallaq Area Bahrain"
Sofitel Bali Nusa Dua,http://www.sofitel-bali-nusadua.com,+62 3618492888  (p) +62 3618492999  (f),"Kawasan Pariwisata BTDC, Lot N5 Nusa Dua, Bali Indonesia"
Sofitel Dubai Downtown,http://www.sofitel-dubai-downtown.com/,+971 45036666  (p) +971 45036667  (f),"Sofitel Dubai Downtown, Sheikh Zayed road Dubai 126272 United Arab Emirates"
Sofitel Dubai Downtown,http://www.sofitel.com,+971 97145036666  (p) +971 97145036667  (f),P.O. Box 126272 - Sheikh Zayed Road - Dubai Downtown Next to Dubai Mall Metro Station Dubai United Arab Emirates
Sofitel Dubai Jumeirah Beach,http://www.sofitel.com,+971 97144484848  (p) +971 97143994433  (f),Sofitel Dubai Jumeirah Beach Dubai 473828 United Arab Emirates
Sofitel Dubai Jumeirah Beach,http://www.sofitel.com,+971 97144484848  (p) +971 97143994433  (f),Sofitel Dubai Jumeirah Beach Dubai 473828 United Arab Emirates
SOFITEL DUBAI THE PALM RESORT & SPA,http://www.sofitel-dubai-thepalm.com/en,"","EAST CRESCENT ROAD, THE PALM DUBAI DUBAI 55558 United Arab Emirates"
Sofitel Hotel - Dubai Jumeirah Beach,http://www.sofitel-dubai-jumeirahbeach.com/en,+971 4448 4848  (p) +971 4432 8456  (f),"Jumeirah Beach Residence, The Walk, The Beach Dubai United Arab Emirates"
Sofitel Legend Old Cataract Aswan,http://www.sofitel.com/gb/hotel-1666-sofitel-legend-old-cataract-aswan/index.shtml,+20 20972316000  (p) +20 20972318336  (f),Aswan Luxor Aswan 11111 Egypt
Sofitel Los Angeles at Beverly Hills,http://www.accorhotels.com/gb/hotel-0937-sofitel-los-angeles-at-beverly-hills/index.shtml,"","Los Angeles, CA 90069 Los Angeles, CA 90069 United States"
Sofitel Munich Bayerpost,http://www.sofitel-munich.com,+49 89599482550  (p),Bayerstrasse 12 Munich 80335 Germany
Sofitel Vienna Stephansdom,http://www.sofitel.com/en/hotel-6599-sofitel-vienna-stephansdom/index.shtml,+43 906160  (p),Praterstrasse 1. Wien 1020 Austria
SOL V.I.P. TRAVEL ,http://solviptravel.com,+34 (+34) 93 467 48 48  (p) +34 (+34) 93 272 34 26  (f),Barcelona Barcelona Spain
SOLVEX INCOMING TOUR OPERATOR,http://www.solvex.bg,"",Sofia Sofia Bulgaria
Somak Safaris,http://www.somak.com,+254 254204971243  (p),PO Box 48495 Nairobi 00100 Kenya
Somatheeram Ayurveda Group,http://www.somatheeram.in,+91 4712268101  (p) +91 4712267600  (f),Chowara PO South of Kovalam - Trivandrum Kerala - India
Soneva Fushi Maldives,http://www.soneva.com,+960 960660304  (p) +960 960 660 0374  (f),Kunfunadhoo Island Maldives 20077 Maldives
Sophie Sharer,,"",""
Sorell Hotels Switzerland,http://www.sorellhotels.com,+41 4113883535  (p) +41 41443883536  (f),Flüelastrasse 51 P.O. Box Zurich Zurich 8047 Switzerland
Souq Waqif Boutique Hotels,http://www.avanihotels.com/souq-waqif/,+974 44336666  (p) +974 44336660  (f),"Souq Waqif, Doha Doha Qatar"
South Beach Group Hotels,http://www.southbeachgroup.com/,+1 +1 305-535-8284  (p),855 Collins Avenue Miami Beach Miami Beach Florida 33139 United States
Southern Aegean Development Agency,http://www.geka.gov.tr,+90 2583718844  (p) +90 258 371 88 47  (f),Pamukkale Teknokent Çamlaraltı Mh. Hüseyin Yılmaz Cd. No:67 B Blok Kat:2 Pamukkale/Denizli 20070 Turkey
Southgate Island Tours,http://www.xpressbooking.com,+230 59800060  (p),Tourism Promotion Association Vacoas/Phoenix Mauritius
SouthWest Germany Tourist Board ,http://www.tourism-bw.com,+49 71123858-0  (p),"Esslinger Str. 8, 70182 Stuttgart Stuttgart Baden-Württemberg 70182 Germany"
SPA HOTEL THERMAL,http://www.thermal.cz,+420 359002201  (p) +420 359002603  (f),I.P. Pavlova 2001/11 Karlovy Vary 360 01 Czech Republic
SPAIN TOURIST BOARD,http://www.spain.info/,+971 567395510  (p),Emirates Tower Floor 26 Dubai United Arab Emirates
